"Date","Price","Open","High","Low","Vol.","Change %"
"25/07/2023","1,095.05","1,110.00","1,110.00","1,090.80","1.70M","-0.49%"
"24/07/2023","1,100.40","1,094.00","1,107.35","1,092.50","2.13M","0.30%"
"21/07/2023","1,097.15","1,103.40","1,104.20","1,090.35","1.88M","-0.05%"
"20/07/2023","1,097.65","1,086.05","1,104.50","1,082.30","5.22M","1.46%"
"19/07/2023","1,081.85","1,067.15","1,086.00","1,063.85","2.31M","1.38%"
"18/07/2023","1,067.15","1,078.45","1,078.90","1,064.35","2.24M","-0.97%"
"17/07/2023","1,077.60","1,073.70","1,081.05","1,070.50","1.25M","0.43%"
"14/07/2023","1,072.95","1,079.95","1,080.00","1,065.00","2.64M","-0.25%"
"13/07/2023","1,075.65","1,081.90","1,081.90","1,071.70","1.54M","-0.29%"
"12/07/2023","1,078.75","1,075.00","1,083.75","1,070.00","5.09M","0.61%"
"11/07/2023","1,072.25","1,052.00","1,074.75","1,049.05","4.37M","2.61%"
"10/07/2023","1,045.00","1,036.00","1,051.00","1,031.10","1.22M","0.90%"
"07/07/2023","1,035.70","1,033.50","1,051.20","1,028.75","1.72M","-0.65%"
"06/07/2023","1,042.50","1,040.00","1,056.60","1,040.00","2.55M","-0.21%"
"05/07/2023","1,044.70","1,055.00","1,057.70","1,042.65","1.84M","-0.39%"
"04/07/2023","1,048.80","1,040.00","1,053.90","1,029.90","1.55M","1.56%"
"03/07/2023","1,032.70","1,053.00","1,053.65","1,030.00","2.34M","-1.80%"
"30/06/2023","1,051.60","1,021.75","1,055.00","1,020.05","4.77M","2.92%"
"28/06/2023","1,021.80","995.00","1,025.55","995.00","5.30M","2.00%"
"27/06/2023","1,001.80","999.95","1,003.35","986.00","4.65M","0.69%"
"26/06/2023","994.95","994.00","1,003.80","991.45","2.07M","0.35%"
"23/06/2023","991.45","994.00","995.95","977.30","1.22M","0.12%"
"22/06/2023","990.30","987.10","996.20","987.10","5.38M","-0.16%"
"21/06/2023","991.90","991.95","993.85","983.60","1.40M","-0.01%"
"20/06/2023","991.95","1,007.65","1,007.75","989.60","1.45M","-0.98%"
"19/06/2023","1,001.80","995.15","1,006.70","993.75","1.33M","0.99%"
"16/06/2023","992.00","990.00","994.65","987.20","3.61M","0.36%"
"15/06/2023","988.40","988.50","994.80","985.70","2.73M","0.17%"
"14/06/2023","986.70","991.60","995.00","984.25","2.14M","-0.14%"
"13/06/2023","988.10","990.00","996.00","985.55","2.41M","0.27%"
"12/06/2023","985.45","987.90","989.90","981.05","593.32K","0.15%"
"09/06/2023","983.95","984.00","990.70","981.00","2.31M","-0.31%"
"08/06/2023","987.00","1,015.00","1,016.00","983.25","3.40M","-2.72%"
"07/06/2023","1,014.60","1,015.00","1,017.50","1,010.00","1.61M","0.08%"
"06/06/2023","1,013.80","1,008.90","1,015.95","1,004.00","1.63M","0.50%"
"05/06/2023","1,008.75","1,005.35","1,017.70","998.50","3.63M","0.92%"
"02/06/2023","999.60","986.55","1,003.70","981.00","3.73M","1.20%"
"01/06/2023","987.70","979.80","990.45","975.00","3.26M","1.27%"
"31/05/2023","975.35","965.00","979.30","960.75","5.60M","1.64%"
"30/05/2023","959.60","965.00","967.45","956.30","2.62M","-0.91%"
"29/05/2023","968.45","969.95","973.25","946.40","5.34M","-0.15%"
"26/05/2023","969.90","943.95","976.70","937.00","4.14M","2.63%"
"25/05/2023","945.00","949.70","951.70","942.70","2.33M","-0.75%"
"24/05/2023","952.15","935.50","954.80","932.60","2.95M","2.21%"
"23/05/2023","931.60","937.50","956.20","929.10","3.06M","-0.62%"
"22/05/2023","937.45","925.85","942.75","922.85","1.38M","1.25%"
"19/05/2023","925.85","932.00","934.40","924.30","1.31M","-0.41%"
"18/05/2023","929.65","943.00","943.00","922.45","3.01M","-0.67%"
"17/05/2023","935.95","941.25","945.30","928.85","2.96M","-0.53%"
"16/05/2023","940.95","953.00","962.55","938.00","2.63M","-1.26%"
"15/05/2023","953.00","953.00","955.75","948.05","1.81M","-0.31%"
"12/05/2023","956.00","961.00","963.10","952.00","2.01M","-0.53%"
"11/05/2023","961.05","953.80","963.90","952.00","1.30M","0.76%"
"10/05/2023","953.80","957.00","959.95","951.60","2.18M","-0.38%"
"09/05/2023","957.45","961.90","966.85","949.50","6.90M","-0.46%"
"08/05/2023","961.85","962.00","969.00","961.00","2.68M","-0.89%"
"05/05/2023","970.45","974.00","977.25","967.85","1.06M","-0.36%"
"04/05/2023","974.00","967.65","975.90","965.15","1.20M","1.08%"
"03/05/2023","963.60","970.50","972.40","959.50","3.09M","-0.97%"
"02/05/2023","973.05","987.65","988.90","970.30","3.15M","-1.48%"
"28/04/2023","987.65","984.95","992.50","979.15","2.01M","0.91%"
"27/04/2023","978.70","968.00","981.60","963.55","2.78M","0.77%"
"26/04/2023","971.25","975.80","976.80","963.20","2.91M","-0.13%"
"25/04/2023","972.50","980.00","982.90","967.00","2.38M","-0.68%"
"24/04/2023","979.15","975.00","982.50","959.25","3.49M","-1.04%"
"21/04/2023","989.45","994.30","994.30","984.95","1.22M","0.17%"
"20/04/2023","987.75","999.10","1,002.10","983.75","1.64M","-0.78%"
"19/04/2023","995.50","1,003.50","1,009.40","993.00","2.17M","-0.93%"
"18/04/2023","1,004.80","999.00","1,006.25","988.30","1.22M","0.61%"
"17/04/2023","998.70","999.45","1,009.90","995.05","1.77M","-0.48%"
"13/04/2023","1,003.50","1,022.30","1,023.85","1,002.00","1.45M","-1.30%"
"12/04/2023","1,016.70","1,015.50","1,020.20","1,005.25","3.25M","0.74%"
"11/04/2023","1,009.25","1,008.60","1,022.25","1,007.55","1.79M","0.06%"
"10/04/2023","1,008.60","1,015.00","1,016.95","1,006.65","1.11M","-0.35%"
"06/04/2023","1,012.10","997.15","1,014.00","993.40","1.42M","1.50%"
