"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","12,654.65","12,610.20","12,671.50","12,589.45","17.41M","0.54%"
"03/05/2023","12,586.80","12,581.60","12,634.80","12,549.20","17.23M","-0.03%"
"02/05/2023","12,590.30","12,618.75","12,669.75","12,559.05","22.72M","-0.19%"
"28/04/2023","12,613.95","12,551.85","12,625.50","12,518.05","36.67M","0.76%"
"27/04/2023","12,519.35","12,450.75","12,537.75","12,402.05","27.86M","0.49%"
"26/04/2023","12,457.85","12,454.10","12,476.30","12,404.35","25.61M","0.01%"
"25/04/2023","12,456.60","12,459.05","12,474.15","12,365.85","31.95M","0.02%"
"24/04/2023","12,454.35","12,505.45","12,509.30","12,391.10","18.24M","-0.73%"
"21/04/2023","12,545.75","12,508.60","12,562.55","12,489.65","19.99M","0.48%"
"20/04/2023","12,485.25","12,642.00","12,650.20","12,453.85","27.41M","-1.11%"
"19/04/2023","12,625.30","12,609.65","12,688.35","12,555.10","33.98M","0.14%"
"18/04/2023","12,607.35","12,413.95","12,615.95","12,354.95","35.28M","1.64%"
"17/04/2023","12,403.60","12,482.70","12,520.95","12,370.05","16.25M","-0.60%"
"13/04/2023","12,478.90","12,606.65","12,606.65","12,465.65","19.90M","-0.76%"
"12/04/2023","12,574.20","12,337.80","12,581.10","12,315.00","50.44M","2.23%"
"11/04/2023","12,300.00","12,308.50","12,401.10","12,250.15","14.81M","0.01%"
"10/04/2023","12,298.75","12,315.15","12,317.30","12,257.85","10.80M","0.20%"
"06/04/2023","12,274.35","12,192.30","12,289.15","12,163.10","16.78M","0.76%"
"05/04/2023","12,181.85","12,081.45","12,191.25","12,043.60","19.09M","0.94%"
"03/04/2023","12,067.95","12,071.95","12,094.80","12,001.50","18.96M","0.42%"
"31/03/2023","12,017.05","11,970.40","12,062.20","11,932.15","22.87M","0.62%"
"29/03/2023","11,942.50","11,892.50","11,973.90","11,861.55","27.78M","0.58%"
"28/03/2023","11,873.20","11,909.90","11,911.50","11,817.95","20.63M","-0.08%"
"27/03/2023","11,882.75","11,797.55","11,951.45","11,744.30","35.92M","1.08%"
"24/03/2023","11,755.35","11,786.45","11,818.80","11,734.55","22.58M","-0.22%"
"23/03/2023","11,780.85","11,771.00","11,801.05","11,747.15","18.70M","0.22%"
"22/03/2023","11,754.70","11,651.65","11,766.45","11,637.85","","1.04%"
"21/03/2023","11,633.75","11,696.05","11,701.55","11,621.65","22.12M","-0.25%"
"20/03/2023","11,663.30","11,660.60","11,709.60","11,602.70","25.50M","-0.11%"
"17/03/2023","11,676.15","11,790.80","11,806.15","11,635.65","59.43M","-0.57%"
"16/03/2023","11,743.20","11,659.00","11,773.35","11,639.25","17.50M","0.94%"
"15/03/2023","11,633.95","11,609.75","11,739.00","11,596.10","14.75M","0.31%"
"14/03/2023","11,597.95","11,609.45","11,669.95","11,542.45","16.56M","0.01%"
"13/03/2023","11,597.35","11,680.05","11,731.00","11,565.45","13.18M","-0.74%"
"10/03/2023","11,683.95","11,657.05","11,694.15","11,596.40","16.79M","-0.14%"
"09/03/2023","11,700.40","11,752.30","11,801.90","11,680.30","19.53M","-0.42%"
"08/03/2023","11,750.15","11,778.90","11,801.45","11,696.80","18.98M","-0.49%"
"06/03/2023","11,807.90","11,818.95","11,887.75","11,794.05","17.52M","0.22%"
"03/03/2023","11,781.80","11,802.30","11,814.00","11,733.45","14.34M","0.18%"
"02/03/2023","11,761.10","11,777.70","11,791.05","11,712.30","15.18M","-0.03%"
"01/03/2023","11,764.60","11,737.15","11,802.35","11,730.00","15.26M","0.15%"
"28/02/2023","11,747.10","11,916.40","11,937.35","11,731.50","70.02M","-1.31%"
"27/02/2023","11,902.50","12,002.40","12,006.35","11,847.30","13.44M","-0.78%"
"24/02/2023","11,996.20","11,985.65","12,087.40","11,928.30","15.82M","0.23%"
"23/02/2023","11,968.20","12,017.25","12,020.20","11,939.55","17.27M","-0.20%"
"22/02/2023","11,991.85","12,017.25","12,065.90","11,980.30","15.91M","-0.23%"
"21/02/2023","12,019.50","12,103.90","12,124.45","11,998.45","12.94M","-0.30%"
"20/02/2023","12,055.40","12,132.35","12,140.80","11,971.20","20.13M","-0.81%"
"17/02/2023","12,154.05","12,267.50","12,275.85","12,142.40","15.01M","-1.18%"
"16/02/2023","12,298.60","12,276.50","12,335.90","12,257.80","14.24M","0.50%"
"15/02/2023","12,237.10","12,221.15","12,259.65","12,135.30","16.22M","-0.10%"
"14/02/2023","12,248.80","12,310.55","12,313.00","12,209.85","19.13M","-0.16%"
"13/02/2023","12,268.10","12,347.70","12,373.60","12,221.55","22.38M","-0.48%"
"10/02/2023","12,327.00","12,293.70","12,347.15","12,207.45","23.50M","0.20%"
"09/02/2023","12,302.50","12,246.25","12,463.65","12,246.25","14.08M","-0.44%"
"08/02/2023","12,357.30","12,203.65","12,373.85","12,144.85","19.30M","1.36%"
"07/02/2023","12,191.40","12,222.55","12,252.90","12,121.95","16.69M","-0.01%"
"06/02/2023","12,193.10","12,150.65","12,218.65","12,086.80","21.07M","0.07%"
"03/02/2023","12,184.60","12,308.70","12,327.15","12,086.85","17.58M","-0.99%"
"02/02/2023","12,306.30","12,291.65","12,362.00","12,224.65","12.33M","-0.40%"
"01/02/2023","12,355.80","12,397.70","12,473.45","12,252.85","20.79M","-0.04%"
"31/01/2023","12,360.25","12,526.85","12,549.70","12,335.25","22.94M","-0.99%"
"30/01/2023","12,484.00","12,531.95","12,586.70","12,443.25","18.14M","-0.19%"
"27/01/2023","12,508.05","12,476.70","12,616.80","12,447.85","23.30M","0.55%"
"25/01/2023","12,440.10","12,567.20","12,594.50","12,409.85","19.84M","-1.22%"
"24/01/2023","12,593.85","12,726.20","12,732.40","12,575.80","11.12M","-0.98%"
"23/01/2023","12,718.45","12,631.80","12,744.40","12,586.15","9.15M","0.89%"
"20/01/2023","12,606.45","12,714.55","12,720.80","12,581.35","10.30M","-0.73%"
"19/01/2023","12,699.05","12,719.40","12,754.70","12,674.45","7.24M","-0.28%"
"18/01/2023","12,734.50","12,656.60","12,743.40","12,631.65","10.13M","0.68%"
"17/01/2023","12,648.00","12,678.25","12,678.25","12,585.05","8.85M","-0.09%"
"16/01/2023","12,659.40","12,691.35","12,728.10","12,592.55","9.10M","-0.07%"
"13/01/2023","12,668.80","12,689.95","12,689.95","12,589.60","12.35M","-0.02%"
